x,y,0,1,2,3,4,5,6,7,8,9
2,40,106,105,107,91,123,89,90,104,108,73
2,41,106,105,107,91,123,90,89,108,104,92
2,42,106,105,107,91,108,90,123,92,89,73
2,43,106,107,105,91,92,108,123,90,89,93
2,44,106,105,107,91,92,108,90,123,89,73
2,45,106,107,105,92,91,108,93,90,123,89
2,46,106,107,105,91,92,108,93,123,90,122
2,47,106,107,92,91,105,93,108,123,90,122
2,48,106,107,92,91,105,108,93,123,90,122
2,49,106,107,105,91,123,92,124,108,122,104
2,50,106,123,107,105,122,124,91,121,104,141
2,51,106,123,122,105,124,107,121,91,141,140
2,52,106,123,105,122,107,124,121,91,141,104
2,53,106,123,105,107,124,122,121,91,141,140
2,54,106,123,124,107,105,122,141,91,121,140
2,55,106,123,124,107,105,122,91,141,121,140
3,0,107,108,106,124,125,105,109,123,91,126
3,1,107,106,108,124,125,105,123,109,91,126
3,2,107,106,124,108,105,125,123,91,104,109
3,3,107,106,124,123,105,108,125,91,104,141
3,4,107,106,124,108,105,123,125,91,104,92
3,5,107,106,108,124,105,123,125,91,109,92
3,6,107,106,124,108,123,105,125,91,92,109
3,7,107,106,124,108,123,105,91,125,92,104
3,8,107,106,124,105,123,108,91,125,92,104
3,9,107,106,105,124,123,91,108,92,125,104
3,10,107,106,105,124,108,91,123,104,92,125
3,11,107,106,105,108,124,123,91,104,92,125
3,12,106,107,105,124,123,108,91,104,125,92
3,13,106,107,105,123,124,104,108,91,125,122
3,14,106,107,105,124,123,104,108,91,125,122
3,15,106,107,105,123,124,104,122,108,91,125
3,16,106,107,123,105,124,104,122,108,125,91
3,17,123,106,124,107,105,122,104,125,108,121
3,18,123,106,105,122,124,107,104,121,108,125
3,19,106,105,123,107,124,122,90,91,89,104
3,20,106,105,123,122,107,89,104,90,91,124
3,21,105,106,122,107,104,123,89,90,73,91
3,22,106,105,107,123,104,122,91,108,124,121
3,23,105,106,123,104,107,122,124,91,108,121
3,24,106,105,123,107,104,122,124,108,91,88
3,25,106,105,123,107,104,124,122,108,91,88
3,26,106,105,107,123,104,89,124,88,91,90
3,27,106,105,107,104,108,91,123,89,90,124
3,28,106,105,107,123,108,124,89,91,90,104
3,29,106,105,107,123,108,90,91,89,124,104
3,30,106,105,107,123,108,90,89,91,124,73
3,31,106,105,107,90,89,91,123,73,108,124
3,32,106,105,107,89,90,73,123,91,108,124
3,33,106,105,107,90,89,123,91,73,108,124
3,34,106,105,107,123,89,90,73,108,91,124
3,35,106,105,107,89,90,123,91,73,108,124
3,36,106,105,107,123,89,90,73,108,91,124
3,37,106,107,105,89,90,91,123,108,73,124
3,38,106,107,105,123,108,90,89,91,73,124
3,39,106,107,105,91,108,90,89,123,92,73
3,40,106,107,105,91,108,90,123,89,92,73
3,41,106,107,105,91,108,92,90,123,89,124
3,42,106,107,105,91,92,108,123,90,89,93
3,43,106,107,91,105,92,108,90,93,123,124
3,44,106,107,91,92,105,108,93,90,123,124
3,45,106,107,91,92,105,108,93,90,123,124
3,46,106,107,92,91,105,93,108,90,123,76
3,47,106,107,92,91,105,93,108,123,90,94
3,48,106,107,92,91,105,93,108,90,123,76
3,49,106,107,92,91,105,108,93,123,124,109
3,50,107,106,123,91,124,92,108,105,122,93
3,51,123,106,107,124,141,91,105,122,92,108
3,52,123,106,124,107,141,105,91,122,92,108
3,53,106,107,123,124,91,105,141,108,92,122
3,54,107,106,124,123,108,91,92,141,125,105
3,55,107,124,123,106,108,92,91,125,141,93
4,0,107,106,108,124,125,105,123,109,91,92
4,1,107,106,124,108,105,125,123,91,109,92
4,2,107,106,124,108,123,105,125,91,92,141
4,3,107,106,124,123,105,108,125,91,104,122
4,4,107,106,124,108,105,123,91,125,92,104
4,5,107,106,108,124,105,91,123,125,92,109
4,6,107,106,124,108,105,123,91,125,92,109
4,7,107,106,124,108,105,91,123,92,125,90
4,8,107,106,124,108,91,105,123,92,125,90
4,9,107,106,91,108,124,105,123,92,125,90
4,10,107,106,91,124,108,105,123,92,125,90
4,11,107,106,124,105,108,91,123,92,125,104
4,12,107,106,124,105,123,108,91,125,92,104
4,13,107,106,124,105,123,108,91,125,92,104
4,14,107,106,124,123,105,108,125,91,104,92
4,15,107,106,124,123,105,108,125,91,104,122
4,16,124,123,107,106,105,125,108,122,141,104
