model,cate,accu
132,forest,51.011639030612244
132,buildings,64.0298150510204
132,sea,63.44945790816327
132,street,63.904655612244895
136,mountain,73.95647321428571
136,forest,54.82700892857143
136,buildings,64.55197704081633
136,sea,67.10220025510205
136,street,60.79639668367347
140,mountain,70.68000637755102
140,forest,55.736607142857146
140,buildings,63.62324617346939
140,sea,68.99394132653062
140,street,61.53619260204081
144,mountain,74.67952806122449
144,forest,60.51020408163265
144,buildings,67.61639030612245
144,sea,69.2530293367347
144,street,67.48325892857143
148,mountain,74.45232780612245
148,forest,59.46827168367347
148,buildings,67.92091836734694
148,sea,70.35076530612245
148,street,66.2954400510204
152,mountain,73.64636479591837
152,forest,60.75175382653061
152,buildings,70.44483418367346
152,sea,74.21157525510205
152,street,71.3265306122449
156,mountain,76.4046556122449
156,forest,58.995535714285715
156,buildings,69.96492346938776
156,sea,73.50845025510205
156,street,66.48995535714286
160,mountain,77.7734375
160,forest,60.41214923469388
160,buildings,70.39381377551021
160,sea,73.18558673469387
160,street,68.64795918367346
164,mountain,80.39461096938776
164,forest,63.533960459183675
164,buildings,70.24473852040816
164,sea,75.41454081632654
164,street,70.1969068877551
168,mountain,79.2920918367347
168,forest,55.89764030612245
168,buildings,71.15593112244898
168,sea,76.00446428571429
168,street,69.72098214285714
172,mountain,81.32254464285714
172,forest,62.2265625
172,buildings,72.4673150510204
172,sea,76.46045918367346
172,street,72.87547831632654
176,mountain,79.59263392857143
176,forest,66.34725765306122
176,buildings,71.18622448979592
176,sea,78.17681760204081
176,street,70.38504464285714
180,mountain,78.19515306122449
180,forest,54.70264668367347
180,buildings,72.08944515306122
180,sea,76.86543367346938
180,street,71.82397959183673
184,mountain,81.48676658163265
184,forest,62.59964923469388
184,buildings,74.0561224489796
184,sea,78.5562818877551
184,street,72.8109056122449
188,mountain,80.88568239795919
188,forest,66.4046556122449
188,buildings,75.31568877551021
188,sea,78.57222576530613
188,street,75.18255739795919
192,mountain,81.33370535714286
192,forest,59.877232142857146
192,buildings,74.86527423469387
192,sea,78.96285076530613
192,street,75.21045918367346
196,mountain,82.95679209183673
196,forest,66.69563137755102
196,buildings,77.24808673469387
196,sea,79.15975765306122
196,street,73.21109693877551
200,mountain,81.6422193877551
200,forest,64.65800382653062
200,buildings,76.59119897959184
200,sea,80.60985331632654
200,street,74.47146045918367
204,mountain,82.88265306122449
204,forest,68.42235331632654
204,buildings,72.7734375
204,sea,76.65577168367346
204,street,71.44929846938776
208,mountain,84.76881377551021
208,forest,70.47911352040816
208,buildings,77.36766581632654
208,sea,81.80963010204081
208,street,76.85427295918367
212,mountain,83.0141900510204
212,forest,65.38743622448979
212,buildings,77.86272321428571
212,sea,81.85347576530613
212,street,77.28156887755102
216,mountain,83.68702168367346
216,forest,66.74744897959184
216,buildings,74.73533163265306
216,sea,80.27742346938776
216,street,70.44722576530613
220,mountain,83.20870535714286
220,forest,68.70057397959184
220,buildings,75.99569515306122
220,sea,80.06138392857143
220,street,75.0406568877551
224,mountain,84.3702168367347
224,forest,69.9673150510204
224,buildings,77.68494897959184
224,sea,81.14317602040816
224,street,76.9985650510204
228,mountain,83.56345663265306
228,forest,64.9202806122449
228,buildings,73.84964923469387
228,sea,80.41533801020408
228,street,74.36623086734694
232,mountain,82.82844387755102
232,forest,64.58545918367346
232,buildings,75.92793367346938
232,sea,82.80532525510205
232,street,73.97401147959184
