a,b,weight
16,21,0.0
17,0,7.344247014451453
17,1,7.323380334834273
17,2,7.32311083684362
17,3,7.33932978285866
17,4,7.344775244504036
17,5,7.344358214464112
17,6,7.342086232851308
17,7,7.342655833182719
17,8,7.33792805098498
17,9,7.337837858855661
17,10,7.306605699130054
17,11,7.344782195405945
17,12,7.3452548876024535
17,13,7.345143660435509
17,14,7.3450185338991165
17,15,7.344302614036864
17,16,7.316904056343799
17,17,7.331696138787155
17,18,7.345240984022365
17,19,0.0
17,20,0.0
17,21,0.0
18,0,7.336048350503522
18,1,7.341384773403358
18,2,7.344851705148643
18,3,7.345282694920538
18,4,7.345108902636655
18,5,7.344566723564254
18,6,7.344518070381935
18,7,7.344469417844206
18,8,7.344469417844206
18,9,7.34494206978108
18,10,7.343503450915535
18,11,7.345275743071278
18,12,7.345247935805831
18,13,7.345220128750921
18,14,7.345185370228358
18,15,7.345032436637078
18,16,7.343781400969809
18,17,7.340773710072538
18,18,0.0
18,19,0.0
18,20,0.0
18,21,0.0
19,0,0.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,7.345275743071278
19,5,7.344719637762383
19,6,7.3451158541701105
19,7,7.344976826001009
19,8,7.344928167385209
19,9,0.0
19,10,7.344983777284466
19,11,0.0
19,12,0.0
19,13,0.0
19,14,0.0
19,15,0.0
19,16,0.0
19,17,0.0
19,18,0.0
19,19,0.0
19,20,0.0
19,21,0.0
20,0,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,7.34530355054727
20,5,0.0
20,6,7.345289646782956
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
20,13,0.0
20,14,0.0
20,15,0.0
20,16,0.0
20,17,0.0
20,18,0.0
20,19,0.0
20,20,0.0
20,21,0.0
21,0,0.0
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
21,13,0.0
21,14,0.0
21,15,0.0
21,16,0.0
21,17,0.0
21,18,0.0
21,19,0.0
21,20,0.0
21,21,0.0
