model,cate,accu
240,street,39.48182397959184
244,mountain,51.00366709183673
244,forest,34.849330357142854
244,buildings,42.586894132653065
244,sea,48.58418367346939
244,street,40.10204081632653
248,mountain,53.773118622448976
248,forest,36.35283801020408
248,buildings,43.8671875
248,sea,50.125956632653065
248,street,39.41167091836735
252,mountain,51.756218112244895
252,forest,35.06058673469388
252,buildings,42.45057397959184
252,sea,50.36192602040816
252,street,39.749681122448976
256,mountain,53.71731505102041
256,forest,37.32382015306123
256,buildings,41.38233418367347
256,sea,50.887276785714285
256,street,41.18861607142857
260,mountain,53.19834183673469
260,forest,37.71045918367347
260,buildings,43.69658801020408
260,sea,49.891581632653065
260,street,43.2063137755102
264,mountain,53.40082908163265
264,forest,34.50175382653061
264,buildings,45.25829081632653
264,sea,51.91326530612245
264,street,44.337531887755105
268,mountain,54.94339923469388
268,forest,37.318239795918366
268,buildings,43.65274234693877
268,sea,51.69403698979592
268,street,42.94642857142857
272,mountain,56.10012755102041
272,forest,36.996173469387756
272,buildings,44.80389030612245
272,sea,51.12563775510204
272,street,44.22353316326531
276,mountain,51.841517857142854
276,forest,35.301339285714285
276,buildings,41.564094387755105
276,sea,50.560427295918366
276,street,41.96029974489796
280,mountain,55.14907525510204
280,forest,38.23182397959184
280,buildings,46.309789540816325
280,sea,52.75430484693877
280,street,44.11352040816327
284,mountain,54.3000637755102
284,forest,37.83003826530612
284,buildings,44.486607142857146
284,sea,51.51546556122449
284,street,40.78125
288,mountain,54.26578443877551
288,forest,36.791294642857146
288,buildings,45.71588010204081
288,sea,51.27471301020408
288,street,43.0827487244898
292,mountain,54.80947066326531
292,forest,38.46619897959184
292,buildings,46.33848852040816
292,sea,52.45615433673469
292,street,46.23086734693877
296,mountain,51.69244260204081
296,forest,38.11782525510204
296,buildings,43.89588647959184
296,sea,49.40927933673469
296,street,42.30229591836735
300,mountain,57.43861607142857
300,forest,39.81425382653061
300,buildings,45.50063775510204
300,sea,55.28140943877551
300,street,44.5280612244898
304,mountain,54.058514030612244
304,forest,38.75079719387755
304,buildings,44.009885204081634
304,sea,49.930644132653065
304,street,44.00829081632653
308,mountain,57.228156887755105
308,forest,39.49697066326531
308,buildings,46.43813775510204
308,sea,53.607302295918366
308,street,42.826052295918366
312,mountain,56.52264030612245
312,forest,36.25717474489796
312,buildings,44.67713647959184
312,sea,52.421875
312,street,42.96157525510204
316,mountain,57.34454719387755
316,forest,38.51323341836735
316,buildings,46.67251275510204
316,sea,53.597735969387756
316,street,44.06329719387755
320,mountain,56.70599489795919
320,forest,41.43096301020408
320,buildings,47.109375
320,sea,54.03619260204081
320,street,46.56887755102041
324,mountain,60.14349489795919
324,forest,42.1061862244898
324,buildings,47.83641581632653
324,sea,56.326530612244895
324,street,48.802614795918366
328,mountain,58.64955357142857
328,forest,41.099330357142854
328,buildings,47.34614158163265
328,sea,54.54799107142857
328,street,45.30771683673469
332,mountain,59.27056760204081
332,forest,40.36591198979592
332,buildings,47.37244897959184
332,sea,56.15911989795919
332,street,46.44052933673469
336,mountain,60.005580357142854
336,forest,38.43989158163265
336,buildings,46.77535076530612
336,sea,53.341039540816325
336,street,44.99282525510204
340,mountain,58.16167091836735
340,forest,38.793048469387756
340,buildings,48.29559948979592
340,sea,55.49744897959184
340,street,44.52088647959184
344,mountain,57.54703443877551
344,forest,41.856664540816325
344,buildings,49.65082908163265
344,sea,55.230389030612244
344,street,47.562181122448976
348,mountain,56.058673469387756
348,forest,39.87802933673469
348,buildings,47.13408801020408
348,sea,53.86240433673469
348,street,44.581473214285715
352,mountain,58.619260204081634
352,forest,39.517697704081634
352,buildings,49.280931122448976
352,sea,56.83115433673469
352,street,47.83482142857143
356,mountain,60.52455357142857
356,forest,41.1750637755102
356,buildings,48.228635204081634
356,sea,56.341677295918366
356,street,47.68734056122449
360,mountain,60.14907525510204
360,forest,42.38998724489796
360,buildings,48.90864158163265
360,sea,57.03125
360,street,48.18877551020408
364,mountain,60.24234693877551
364,forest,41.43255739795919
364,buildings,50.814732142857146
364,sea,57.10698341836735
364,street,48.92378826530612
368,mountain,58.96285076530612
368,forest,42.137276785714285
368,buildings,49.605389030612244
368,sea,55.974968112244895
368,street,46.8718112244898
372,mountain,59.639668367346935
372,forest,42.30947066326531
372,buildings,49.017857142857146
372,sea,57.476881377551024
372,street,48.10507015306123
376,mountain,60.45918367346939
376,forest,41.22130102040816
376,buildings,49.05771683673469
376,sea,56.8391262755102
376,street,46.830357142857146
380,mountain,60.86973852040816
380,forest,43.123405612244895
380,buildings,47.572544642857146
380,sea,56.24760841836735
380,street,43.926977040816325
384,mountain,60.66485969387755
384,forest,40.60108418367347
384,buildings,49.64923469387755
384,sea,57.50478316326531
384,street,44.79272959183673
388,mountain,60.25829081632653
388,forest,38.790656887755105
388,buildings,48.716517857142854
388,sea,56.63105867346939
388,street,46.05229591836735
392,mountain,60.34677933673469
392,forest,40.12914540816327
392,buildings,48.614477040816325
392,sea,57.369260204081634
392,street,47.359693877551024
396,mountain,61.46045918367347
396,forest,39.940210459183675
396,buildings,49.40449617346939
396,sea,56.77774234693877
396,street,46.844706632653065
400,mountain,58.97799744897959
400,forest,42.53826530612245
400,buildings,49.041772959183675
400,sea,57.04878826530612
400,street,48.341039540816325
